iter	Passed	Remaining
0	201	201611
1	204	102265
2	207	68986
3	209	52222
4	211	42113
5	213	35370
6	215	30533
7	216	26874
8	218	24027
9	219	21747
10	220	19869
11	222	18297
12	223	16966
13	224	15836
14	226	14846
15	227	13973
16	228	13201
17	229	12512
18	230	11899
19	231	11342
20	232	10835
21	233	10374
22	234	9953
23	235	9566
24	236	9209
25	237	8883
26	238	8579
27	239	8302
28	240	8040
29	241	7794
30	242	7564
31	242	7348
32	243	7145
33	244	6958
34	246	6787
35	247	6616
36	248	6457
37	249	6306
38	250	6161
39	250	6023
40	251	5893
41	252	5770
42	253	5652
43	254	5538
44	255	5429
45	256	5326
46	257	5225
47	258	5130
48	259	5040
49	260	4951
50	261	4867
51	262	4785
52	263	4707
53	264	4632
54	265	4559
55	266	4489
56	267	4420
57	268	4355
58	269	4291
59	269	4229
60	270	4169
61	271	4112
62	272	4056
63	273	4002
64	274	3950
65	275	3899
66	276	3849
67	276	3795
68	277	3749
69	278	3704
70	279	3660
71	280	3617
72	281	3575
73	282	3535
74	283	3495
75	284	3457
76	285	3419
77	286	3382
78	287	3346
79	287	3311
80	288	3277
81	289	3244
82	290	3212
83	292	3189
84	293	3155
85	294	3125
86	294	3092
87	295	3063
88	296	3035
89	297	3007
90	298	2980
91	299	2953
92	300	2927
93	301	2902
94	302	2877
95	302	2852
96	303	2828
97	304	2806
98	306	2786
99	307	2765
100	308	2745
101	308	2720
102	310	2699
103	311	2682
104	312	2663
105	313	2644
106	314	2626
107	316	2609
108	317	2595
109	318	2579
110	319	2560
111	320	2542
112	321	2524
113	322	2505
114	323	2488
115	324	2469
116	325	2453
117	325	2436
118	326	2418
119	327	2402
120	328	2386
121	329	2370
122	329	2352
123	330	2337
124	331	2323
125	332	2308
126	333	2294
127	334	2277
128	335	2263
129	336	2250
130	337	2237
131	338	2223
132	339	2210
133	340	2197
134	341	2184
135	341	2172
136	342	2159
137	343	2146
138	344	2134
139	345	2123
140	346	2111
141	347	2100
142	348	2088
143	349	2076
144	350	2065
145	351	2054
146	352	2043
147	352	2032
148	353	2021
149	354	2010
150	355	2000
151	356	1989
152	357	1979
153	358	1969
154	359	1959
155	360	1949
156	361	1939
157	362	1930
158	363	1920
159	363	1910
160	364	1901
161	365	1892
162	366	1883
163	367	1874
164	368	1865
165	369	1856
166	370	1847
167	371	1838
168	372	1831
169	373	1822
170	374	1814
171	375	1806
172	376	1797
173	376	1789
174	377	1781
175	378	1773
176	379	1765
177	380	1757
178	381	1750
179	382	1742
180	382	1732
181	383	1725
182	384	1717
183	385	1710
184	386	1703
185	387	1696
186	388	1689
187	389	1681
188	390	1674
189	391	1667
190	392	1661
191	393	1654
192	394	1647
193	395	1641
194	395	1634
195	396	1627
196	397	1621
197	398	1615
198	400	1610
199	401	1607
200	403	1603
201	404	1599
202	405	1593
203	407	1588
204	408	1584
205	409	1578
206	411	1574
207	412	1571
208	414	1568
209	415	1562
210	416	1558
211	418	1554
212	419	1549
213	420	1545
214	422	1542
215	423	1537
216	425	1535
217	426	1530
218	428	1526
219	429	1522
220	430	1517
221	431	1513
222	433	1508
223	434	1504
224	435	1500
225	436	1496
226	438	1491
227	439	1486
228	440	1481
229	441	1477
230	442	1472
231	443	1467
232	444	1462
233	445	1458
234	446	1454
235	447	1449
236	449	1447
237	450	1443
238	452	1439
239	453	1436
240	454	1431
241	461	1446
242	465	1448
243	473	1467
244	479	1477
245	486	1491
246	487	1486
247	489	1483
248	490	1478
249	491	1473
250	492	1470
251	493	1465
252	494	1460
253	499	1466
254	501	1464
255	502	1460
256	505	1460
257	506	1456
258	507	1452
259	508	1448
260	509	1443
261	513	1447
262	515	1444
263	516	1439
264	518	1436
265	519	1432
266	520	1427
267	521	1425
268	523	1421
269	524	1417
270	529	1424
271	532	1424
272	533	1420
273	537	1424
274	548	1446
275	551	1446
276	553	1444
277	555	1442
278	560	1447
279	566	1457
280	598	1531
281	615	1566
282	625	1584
283	627	1581
284	629	1579
285	632	1578
286	633	1574
287	640	1582
288	642	1580
289	644	1577
290	646	1574
291	648	1572
292	651	1571
293	654	1572
294	656	1568
295	658	1565
296	659	1561
297	660	1557
298	661	1551
299	663	1547
300	664	1542
301	664	1536
302	666	1532
303	667	1528
304	668	1523
305	669	1519
306	671	1514
307	672	1509
308	673	1505
309	674	1500
310	675	1495
311	676	1491
312	677	1487
313	678	1482
314	679	1477
315	681	1474
316	682	1469
317	683	1465
318	684	1460
319	685	1456
320	686	1451
321	687	1447
322	688	1442
323	689	1437
324	690	1433
325	691	1429
326	692	1424
327	693	1420
328	694	1416
329	696	1413
330	697	1408
331	698	1404
332	699	1400
333	700	1396
334	701	1392
335	702	1387
336	703	1383
337	704	1379
338	705	1375
339	706	1371
340	707	1366
341	708	1363
342	710	1360
343	711	1356
344	712	1352
345	713	1348
346	714	1344
347	715	1340
348	716	1336
349	717	1332
350	718	1328
351	719	1324
352	720	1320
353	721	1316
354	722	1313
355	723	1309
356	725	1306
357	726	1302
358	727	1298
359	728	1295
360	729	1291
361	730	1287
362	731	1283
363	732	1280
364	733	1276
365	734	1272
366	736	1269
367	737	1266
368	739	1265
369	740	1261
370	741	1257
371	743	1254
372	744	1250
373	744	1246
374	746	1243
375	747	1240
376	748	1236
377	749	1232
378	750	1229
379	750	1225
380	752	1221
381	753	1219
382	754	1215
383	755	1212
384	756	1208
385	757	1204
386	758	1201
387	759	1197
388	760	1194
389	761	1191
390	762	1187
391	763	1183
392	764	1180
393	765	1176
394	766	1173
395	767	1170
396	768	1167
397	769	1163
398	770	1160
399	771	1156
400	772	1153
401	773	1150
402	774	1147
403	775	1143
404	776	1140
405	777	1137
406	778	1134
407	779	1130
408	780	1127
409	781	1125
410	782	1121
411	783	1118
412	784	1115
413	785	1111
414	786	1108
415	787	1106
416	788	1102
417	789	1099
418	790	1096
419	791	1093
420	792	1089
421	793	1086
422	794	1083
423	795	1080
424	796	1077
425	798	1075
426	799	1072
427	799	1069
428	800	1066
429	801	1062
430	802	1059
431	803	1056
432	804	1053
433	805	1050
434	806	1047
435	807	1044
436	808	1041
437	810	1039
438	811	1036
439	812	1033
440	813	1031
441	814	1028
442	815	1025
443	816	1022
444	817	1019
445	818	1016
446	819	1013
447	820	1010
448	821	1008
449	822	1005
450	823	1002
451	824	999
452	826	997
453	827	994
454	828	991
455	828	988
456	829	986
457	830	983
458	831	980
459	832	977
460	833	974
461	834	971
462	835	968
463	836	966
464	837	963
465	838	961
466	840	958
467	841	956
468	841	953
469	842	950
470	843	947
471	844	944
472	845	942
473	846	939
474	847	936
475	848	933
476	849	931
477	850	928
478	851	925
479	851	922
480	853	920
481	854	917
482	854	915
483	855	912
484	856	909
485	857	907
486	858	904
487	859	901
488	860	899
489	861	896
490	862	894
491	863	891
492	864	889
493	865	886
494	866	884
495	868	882
496	870	880
497	871	878
498	871	875
499	872	872
500	873	870
501	874	867
502	875	865
503	876	862
504	877	860
505	878	857
506	879	855
507	880	852
508	881	850
509	883	848
510	884	846
511	885	843
512	886	841
